DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,P3050,P3051,P639,P3052,CLASE_TE,COD_DEPTO,AREA,F_EXP
7628664,1,1,4,6,5,,1,52,52,6.96748759086487
7628664,1,3,1,4,5,1,1,52,52,6.96748759086487
7628664,1,4,1,6,3,1,1,52,52,6.96748759086487
7628667,1,2,3,2,3,1,1,52,52,9.78924533330148
7628670,1,1,1,2,5,1,1,52,52,6.42178654970341
7628676,1,2,1,1,5,1,1,52,52,6.94418339240307
7628678,1,3,1,1,1,1,1,52,52,19.2436258743026
7628682,1,1,1,2,5,1,1,52,52,19.2858176531808
7628691,1,1,1,2,5,1,1,52,52,16.8947913067632
7628691,1,2,1,5,5,1,1,52,52,16.8947913067632
7628704,1,1,1,2,3,2,1,52,52,12.1324148057374
7628704,1,2,1,2,2,2,1,52,52,12.1324148057374
7628705,1,1,1,2,4,1,1,52,52,12.2575587682609
7628706,1,1,1,2,5,2,1,52,52,9.14653759576351
7628710,1,1,1,5,4,1,1,52,52,13.8254952227818
7628712,1,1,1,2,5,1,1,52,52,16.5955253560995
7628718,1,1,1,3,5,2,1,52,52,12.5096945351248
7628720,1,2,1,1,1,6,1,52,52,16.1765530743166
7628721,1,1,1,1,1,1,1,52,52,14.1937598252836
7628724,1,1,3,2,2,1,1,52,52,16.2727574250647
7628726,1,2,1,1,2,1,1,52,52,21.4140068975676
7628729,1,1,1,5,5,1,1,52,52,8.79562680068404
7628729,1,4,1,2,4,2,1,52,52,8.79562680068404
7628737,1,2,3,5,5,2,1,52,52,8.75532686130447
7628748,1,1,1,5,5,1,1,54,54,33.7395697583958
7628763,1,1,1,2,5,1,1,54,54,18.4818662179442
7628765,1,1,1,5,5,1,1,54,54,32.9533051531792
7628769,1,1,1,3,5,3,1,54,54,54.2117785029462
7628775,1,1,1,2,4,5,1,54,54,41.5097438043961
7628790,1,1,1,4,5,1,1,66,66,15.5434946168637
7628791,1,4,1,2,3,8,1,66,66,14.6617136516994
7628794,1,1,1,5,5,1,1,66,66,37.6529732218706
7628797,1,1,1,4,3,1,1,66,66,16.77045812695
7628798,1,2,1,5,5,1,1,66,66,16.0325012653773
7628799,1,1,1,5,5,1,1,66,66,17.2163701252198
7628809,1,1,2,1,5,8,1,66,66,21.988173588949
7628819,1,2,1,1,4,2,1,66,66,32.252986328258
7628844,1,1,1,2,4,1,1,66,66,13.0230917828013
